[0.0:1.44]  Salve, salve família.
[123.1:124.1]  Sexta, e um e três.
[124.1:125.1]  Sexta, oito e dois.
[125.1:126.1]  Ai, tem isso.
[126.1:127.1]  Não, aqui, ó.
[127.1:128.1]  Pronto, sexta e três, ó.
[128.1:129.1]  É!
[130.1:133.1]  Ali, Ana, você é o nosso defensor de ganhar.
[133.1:134.1]  É.
[135.1:137.1]  Ô, ó, cuidado.
[137.1:138.1]  Ai, ó, ó.
[138.1:139.1]  Ô, ó.
[139.1:140.1]  A produção tá com a gente.
[140.1:141.1]  E aí.
[141.1:142.1]  Vamos, Maria, vamos, querendo.
[142.1:143.1]  É, vai.
[143.1:144.1]  Vamos.
[144.1:145.1]  Isso.
[145.1:146.1]  Já perdeu.
[146.1:148.1]  Pode saber, tá bem demais.
[148.1:150.1]  Obridade, tá bem demais.
[150.1:151.1]  É rotudo, é rotudo.
[151.1:152.1]  Sabe demais.
[152.1:153.1]  Successo, Maria.
[153.1:155.1]  Cadê uns 30 segundos?
[155.1:156.1]  Cadê uns 30 segundos?
[156.1:157.1]  É, ó, tá de dois.
[157.1:158.1]  Vai dar dois, vai.
[158.1:160.1]  Quanto tempo eu ento, ai, finito isso aí, hein.
[160.1:161.1]  Calma, Maria.
[161.1:162.1]  Não, não, não.
[162.1:163.1]  Cabou!
[163.1:164.1]  Acabou, acabou.
[164.1:165.1]  Não, vai.
[165.1:167.1]  Não, vocês estão tentando patuar os terros.
[167.1:171.1]  Dois, três, quatro, cinco, seis, sete, oito, nove, cinquenta.
[171.1:176.1]  Um, dois, três, quatro, cinco, seis, sete, oito, nove, seis, sete, oito, nove, cinquenta.
[176.1:177.1]  Vamos, o ****.
[177.1:181.1]  Fincu, seis, sete, oito, nove, setenta.
[181.1:182.1]  Vamos.
[182.1:184.1]  Fincu, setenta e cinco.
[184.1:185.1]  Acabou, já pode acabar.
[185.1:189.1]  Agora vamos pra segunda parte dos competidores, agora com 15 segundos.
[189.1:191.1]  Tá aí, já, Batrista.
[191.1:192.1]  Pode pegar.
[195.1:197.1]  Batista, quantos números estão aqui?
[198.1:199.1]  Três.
[199.1:200.1]  Ahahah!
[200.1:201.26]  Ah, vamos embora!
[201.26:202.46]  Vamos embora, vamos embora!
[202.46:204.54]  F******, vamos embora, vamos embora!
[206.22:208.06]  Um, dois, três!
[208.85999999999999:210.78]  O amor é que mandou muito, é isso!
[210.78:211.94]  Pode seguir!
[211.94:213.62]  Isso, batista, tá perfeito!
[213.62:215.14]  Isso, batista!
[215.14:216.66]  Isso, batista!
[216.66:217.38]  Cabou, gente!
[217.38:218.34]  Cabou, cadê?
[218.34:219.38]  Cabou!
[219.38:220.38]  Cabou!
[220.38:221.38]  Ei!
[221.38:222.85999999999999]  Ei!
[222.85999999999999:223.85999999999999]  Ei!
[223.85999999999999:224.78]  Pemos a fado!
[224.78:226.06]  Alá, alá, tá roubando!
[226.06:227.06]  57!
[227.06:228.06]  Ah, carava, meu!
[228.45999999999998:229.06]  Tudo isso?
[229.06:231.42000000000002]  57 mais 62.
[231.42000000000002:232.62]  19.
[232.62:234.26]  É, bom, eu sou professor de inglês, né?
[234.26:235.34]  Agora é o galo doido.
[235.34:236.66]  Vai pegar só 13, né?
[236.66:238.66]  Tem que ser um múltiplo de 13, Mateus.
[238.66:240.26]  Vai com calma.
[240.26:241.46]  Tá em Deus!
[241.46:242.5]  É proibido, né?
[242.5:244.26]  É proibido fazer isso, Mateus.
[244.26:245.26]  Oh!
[245.26:246.54]  2, 3, 4, 5 graus.
[246.54:247.74]  400 e 100 graus.
[247.74:248.74]  Ah!
[249.02:251.02]  Ah!
[251.02:252.02]  Ah!
[252.02:253.02]  Boa, Mateus!
[253.02:254.54000000000002]  Tá, mas vai pra 8, tá?
[254.54000000000002:255.74]  Não, não, não, não, não.
[255.74:256.74]  Vamos lá, vamos lá, vamos lá.
[256.74:257.74]  Vamos lá, vamos lá.
[257.74:258.74]  Vai, cara!
[258.74:260.34000000000003]  Segue assim, tá fazendo bem demais, cara.
[260.34000000000003:262.14]  Bora, vai, vai, vai, vai, vai.
[262.14:263.14]  Cabou, cabou!
[263.14:264.14]  Ei!
[264.14:265.14]  Ei!
[265.14:266.14]  Ei!
[266.14:267.14]  Tu é ruim.
[267.14:269.94]  A gente tem que descontar a ponto de quem acaba ir contindo?
[269.94:270.94]  É venda!
[270.94:273.74]  Tinha nada, família, não tem essa regra que inventa no mesmo, não é?
[273.74:274.74]  Não, não é, não é?
[274.74:276.54]  A vida ninguém inventa essa regra, não é?
[276.54:285.54]  1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 30, 31, 32, 33, 33...
[285.54:286.54]  E dá a edicriz!
[286.54:287.54]  E dá a edicriz!
[287.54:291.54]  Ah, mas esse cara roubar o tempo do batista, ele ficou com 4 segundos ali e a galera deixou, né?
[291.54:292.54]  É isso, é mesmo.
[292.54:293.54]  Tem que falar a verdade.
[293.54:296.54]  O batista deu só a colher a dão, tudo é umas 3 colheradas na vazia.
[296.54:299.54]  E agora, pra ter ser etapa 10 segundos só.
[299.54:301.54]  Já ganhou, pã, pã, já ganhou.
[301.54:303.54]  Ah lá, dá de botar uma colher do cara.
[303.54:304.54]  Aí for, dá lá, dá lá.
[304.54:305.54]  Tá, hoje é, quando...
[305.54:306.54]  Qual é?
[306.54:309.54]  Ah lá, dá lá, dá lá.
[309.54:310.54]  Ah lá, dá lá, dá lá.
[310.54:313.54]  Ah, não, não, não pode mais guardar bolinha.
[313.54:314.54]  Vai, oi.
[314.54:316.54]  10 segundos, um, dois, três.
[316.54:317.54]  10.
[317.54:318.54]  10.
[318.54:319.54]  Boa, boa, boa.
[319.54:320.54]  Boa, boa, boa.
[320.54:321.54]  Não, não, não, não, não.
[321.54:323.54]  Ah lá, tá vendo, tá vendo?
[323.54:325.54]  Ah, tá vendo.
[325.54:326.54]  Acabou, gente.
[326.54:327.54]  Acabou, acabou.
[327.54:329.54]  Ei, Ei, Ei.
[329.54:331.54]  Não dá pra saber quando acabou de verdade.
[331.54:332.54]  Com 3 segundos, acabou.
[332.54:337.54]  1, 2, 3, 4, 5, 6, 7.
[337.54:338.54]  Obano, né?
[338.54:339.54]  Fácil.
[339.54:340.54]  32.
[340.54:341.54]  Vai, motiva.
[341.54:343.54]  Você não fizer menos 50?
[343.54:344.54]  Acabou, né?
[344.54:345.54]  Vai fazer bem.
[345.54:346.54]  Segura bem.
[346.54:347.54]  Ai, ó.
[347.54:348.54]  Ai, ai, ai, ai.
[348.54:349.54]  Calma.
[349.54:350.54]  Ai, meu Deus.
[350.54:352.54]  Você é canhoto mesmo, Péli?
[352.54:353.54]  Desde 2016, eu sou.
[353.54:354.54]  3, 2, 1.
[354.54:355.54]  Vai.
[355.54:356.54]  Vai, vai, vai, vai, vai, vai.
[356.54:357.54]  Já vai, vai.
[357.54:358.54]  Uuuu, 5.
[358.54:359.54]  Ah, meu nome, ai.
[359.54:360.54]  Ah, meu nome.
[360.54:361.54]  Ai, ai, ai, ai.
[361.54:362.54]  Vai, vai, vai, vai, vai.
[362.54:363.54]  Já acabou, acabou, acabou.
[363.54:364.54]  Acabou, acabou, acabou.
[364.54:365.54]  Acabou, acabou.
[365.54:366.54]  Vai, feite.
[366.54:367.54]  Vai, feite.
[367.54:368.54]  Vai, feite.
[368.54:371.54]  Pode contar a vontade aí que não vai dar 100% com 156.
[371.54:376.54]  3, 7, 9, 20, 60.
[376.54:380.54]  8, 9, 10, 18.
[380.54:387.54]  19, 20, 21, 22, 24.
[387.54:388.54]  24.
[388.54:391.54]  26, 27, 28, 29.
[391.54:392.54]  31.
[392.54:393.54]  30, não.
[393.54:394.54]  30, não, 30.
[394.54:395.54]  Vamos, vamos.
[395.54:396.54]  Vamos, vamos.
[396.54:397.54]  Vamos, vamos.
[397.54:398.54]  É 30.
[398.54:399.54]  Tímido Igor, feite.
[399.54:401.54]  157.
[401.54:402.54]  157.
[402.54:404.54]  Ai, ai, ai.
[404.54:405.54]  É agora.
[405.54:406.54]  158.
[406.54:407.54]  131.
[407.54:409.54]  Ah, ai, ai, ai.
[409.54:411.54]  Ai, ai, ai.
[411.54:412.54]  Espera.
[412.54:414.54]  Não dá pra vocês, não, cara.
[414.54:415.54]  Tranquilo, cara.
[415.54:417.54]  Aí, te vai buscar, te vai buscar.
[417.54:418.54]  Vamos logo, por próximo.
[418.54:419.54]  Vamos logo, por próximo.
[419.54:420.54]  Vem.
[420.54:421.54]  Agora, a gente vai embrulhar os balducos,
[421.54:423.54]  Chocotones e os balducos, panetones vendados.
[423.54:426.54]  Vamos ver quem faz o melhor em brúlio e quem ganha a melhor nota.
[426.54:428.54]  Vai começar no 3, beleza?
[428.54:431.54]  1, 2, 3.
[431.54:435.54]  Muito, muito.
[435.54:436.54]  Cabe na...
[436.54:440.54]  Ui, ui, ui.
[440.54:442.54]  Cara, aqui a situação, o batido está horrível.
[442.54:444.54]  Fazer de coração, meu.
[444.54:446.54]  Meu, meu, meu negócio aí.
[446.54:448.54]  Aperfeito e o íguinho.
[448.54:450.54]  Tá bem, beleza, assim.
[450.54:452.54]  Nossa, moleque.
[452.54:454.54]  Eu acho que tá perfeito, assim, daqui.
[454.54:456.54]  Amei.
[458.54:460.54]  Me dá e me dá e o do Rex.
[460.54:462.54]  O seguito está com...
[462.54:463.54]  Eu vou...
[463.54:464.54]  Me dá direito, afeta.
[464.54:466.54]  Vou lá aqui na ponta do meu dedo.
[466.54:468.54]  Acabou aqui, acabou aqui.
[468.54:469.54]  Vai.
[469.54:470.54]  Bati, acabou, acabou.
[470.54:471.54]  É a camê.
[471.54:472.54]  Adubati, você ficou maneiro.
[472.54:473.54]  Ficou melhor que o meu.
[473.54:475.54]  Almei, eu tenho brulhado.
[475.54:477.54]  Ah, são pãe agulha isso.
[477.54:479.54]  Olha, do Jé ficou bom também.
[479.54:481.54]  Olha, Lulú, dizer a Rodaix.
[481.54:483.54]  É, na real, eu impressionaria de 5.
[483.54:484.54]  É, não.
[484.54:485.54]  Dizer a 10.
[485.54:486.54]  Parece um coelhinho.
[486.54:487.54]  Quanto?
[487.54:488.54]  7, boa.
[488.54:489.54]  O jé tá muito...
[489.54:491.54]  E a do Jé ficou amada, ela.
[493.54:495.54]  Nossa, toma.
[495.54:497.54]  Bom, bom, bom.
[497.54:503.54]  Panei, panei, Tony.
[503.54:506.54]  1, 2, 3.
[506.54:508.54]  Já perdeu, Mateus.
[508.54:509.54]  Uau!
[509.54:511.54]  Nossa, aqui ruim.
[511.54:513.54]  Nossa, aqui ruim.
[513.54:515.54]  Mariana é muito melhor que todo mundo.
[515.54:518.54]  Ah, Mariana de Odica, paíli.
[518.54:520.54]  Passou a calma aqui.
[520.54:523.54]  Mas graças a Deus aqui, perma.
[523.54:525.54]  Nossa, pera, isso que é isso, meu.
[526.54:527.54]  Meu, tá tudo o contrário.
[527.54:529.54]  Eu não recebi-me com o presente.
[529.54:530.54]  Ahahahahahah.
[530.54:532.54]  Ah, não, mas aí não par Mariana, não vale.
[532.54:533.54]  Como que eu não vai... ai, f***!
[533.54:534.54]  Ai!
[534.54:536.54]  Ah, as coisas f***!
[536.54:537.54]  Ah, da.
[537.54:539.54]  A imprulhóvola junto, nem.
[539.54:541.54]  Eu nem sei que bola essa.
[541.54:542.54]  Mateus terminou.
[542.54:543.54]  Vem, que também terminou.
[543.54:544.54]  Mariana, tá na soção.
[544.54:545.54]  Sou, teve o...
[545.54:546.54]  Quem é isso, Mariana?
[546.54:548.54]  Não, Mariana, é outro pra tá.
[548.54:549.54]  Da Mariana, tá perfeito.
[549.54:550.54]  Ô, Lulú.
[550.54:552.54]  Vamos precisar saber das notas aqui.
[552.54:553.54]  Puda, mamãe.
[553.54:555.54]  Oh, também, também.
[555.54:557.54]  Nove, também, do tio Mateus.
[557.54:559.54]  Não, Mateus, vira, vira do outro lado.
[559.54:560.54]  8...
[560.54:561.54]  8...
[561.54:562.54]  8,5...
[562.54:565.54]  Ah, tá...
[565.54:566.54]  6...
[566.54:567.54]  Ah...
[567.54:569.54]  Ou seja, eu fui o pior.
[569.54:571.54]  Eu fui o pior de todos.
[571.54:573.54]  Ah, Mariana, dois minutos e um segundo.
[573.54:575.54]  E um minuto e tinta e três segundos.
[575.54:577.54]  Fio, pá, vamos, Brasil?
[577.54:578.54]  Alguém que tu fez aí?
[578.54:579.54]  Eu rasguei o trinhegosto.
[579.54:581.54]  Irmão, eu não acredito que tá diminuindo.
[581.54:582.54]  Então, isso é arte.
[582.54:583.54]  É arte.
[583.54:584.54]  É arte, é arte.
[584.54:588.54]  Nesse jogo, a gente vai chutar o peso dos objetos e aí pesá-los.
[588.54:590.54]  O time que chegar mais perto ganha.
[590.54:593.54]  Então, nós vamos pegar aqui algumas coisas que estão na mesa, como esse sino,
[593.54:596.54]  como esse quebra no oiz aqui, e vamos ver o peso.
[596.54:597.54]  Vamos começar por onde?
[597.54:599.54]  Então, podemos começar com o sino, também, por não.
[599.54:600.54]  É o mais pesado mesmo.
[600.54:604.54]  O time de cá vai sugerir um peso, o time de lá vai sugerir um peso.
[604.54:606.54]  Vamos pesar e vamos ver quem chega mais perto.
[606.54:607.54]  Trinta segundos, hein?
[607.54:608.54]  Contando?
[608.54:610.54]  1, 2, 3 e...
[612.54:613.54]  Nossa.
[613.54:615.54]  Eu acho que tem um centro.
[615.54:617.54]  Cheio de tititivo, vocês, hein?
[617.54:618.54]  Então, é muito pesado pra...
[618.54:619.54]  Tá, não.
[619.54:620.54]  Acho que é 2 kg batista.
[620.54:622.54]  Bom, chegamos num número aqui, hein?
[622.54:623.54]  A gente...
[624.54:626.54]  Olha, já começa, já conta a d3.
[626.54:628.54]  1, 2, 3.
[634.54:635.54]  Eu pesadinho, né?
[635.54:636.54]  O que é isso que eu fiz, grato?
[636.54:637.54]  É, né?
[637.54:639.54]  Ele está por volta nos 400.
[639.54:641.54]  É, eu acho que é uns dois que não.
[641.54:643.54]  Acho que tem 30 segundos em fiquitas.
[643.54:647.54]  Opa, opa, opa, tira, põe na mesa, põe na mesa, põe na mesa.
[647.54:648.54]  Põe na mesa.
[648.54:651.54]  Eee, mas aí está tendo mais tempo ainda, quer isso?
[651.54:653.54]  Olha, está achado isso daí, hein?
[653.54:654.54]  Já, isso é medo?
[654.54:655.54]  Isso é medo de perder?
[655.54:656.54]  A gente chotou 180.
[656.54:657.54]  Niste, então a gente é romô.
[657.54:658.54]  Se deixa eu estar no aguanto.
[658.54:659.54]  500 gramas.
[659.54:660.54]  Nossa.
[660.54:661.54]  Nossa, meu anão tá longe.
[663.54:664.54]  192.
[665.54:668.54]  Ah, não, só muito bom, só muito bom.
[668.54:670.54]  Isso pinta seu pai mesmo.
[670.54:671.54]  Ah, quem é isso?
[671.54:673.54]  Ah, ah, ah, ah, ah.
[673.54:675.54]  Vamos agora para o segundo?
[675.54:676.54]  Vamos.
[676.54:678.54]  Vou contar até 3 e pegar o que é pra nós, beleza?
[678.54:679.54]  Partindo da mesa.
[679.54:681.54]  1, 2, 3.
[683.54:685.54]  Com certeza, 20 quilos.
[685.54:686.54]  Nossa.
[686.54:688.54]  É, eu acho que...
[688.54:690.54]  É, vamos levarmos sem, é, sem.
[690.54:692.54]  E eles já decidiram, mano.
[693.54:694.54]  Já largamos, largamos.
[694.54:695.54]  Tá largado aqui.
[695.54:697.54]  1, 2, 3.
[699.54:701.54]  É, uns 500 estão aí.
[701.54:702.54]  Olha, vem bem, Fênix.
[702.54:705.54]  Sente aí, não tem um peso certinho de um... de um cina.
[705.54:706.54]  Meu, você tem um taquilo, não pago.
[706.54:708.54]  É, melhor chutar mais pra baixo dessa vez.
[708.54:710.54]  É da outra escada de estar meio quilo.
[710.54:712.54]  Tá bom, é, é, é, é.
[715.54:717.54]  Bom, é agora a gente pode revelar, né?
[717.54:718.54]  A gente falou 100.
[718.54:719.54]  85.
[723.54:725.54]  Ah, né, então, eu cheguei aí.
[725.54:726.54]  Como assim?
[726.54:727.54]  Como você é uma pesada que eu sinto?
[727.54:729.54]  Nossa, não é possível.
[729.54:730.54]  Primeiro é coisa que eu falei aqui foi.
[730.54:732.54]  É mais leve que eu sinto.
[732.54:734.54]  Então, eu achei que era metade do pé muito doido.
[734.54:736.54]  Esse ficou todo mundo muito longe, não foi?
[736.54:739.54]  A gente ficou mais perto, mas ainda assim, é como que eu não ia dar metade.
[739.54:741.54]  Nem acho justo, a gente ganha a ponto, né?
[741.54:744.54]  Aí, a verdade é que esses caras não vão já nada, cara.
[744.54:746.54]  O, Fênix, ficou triste, cara.
[746.54:747.54]  Fiquei triste, cara.
[747.54:749.54]  Toma aqui um baú duco, panetone pra você.
[749.54:751.54]  Ah, muito obrigado, cara.
[751.54:753.54]  Mas, aqui, alguém acontece, é uma gia do Natal.
[753.54:755.54]  Ela prevei isso, né?
[755.54:757.54]  Essa bombade de coração, né, pra você.
[757.54:759.54]  Já é família, né? Família e isso aí, cara.
[759.54:760.54]  E eu, eu, eu, eu, eu.
[760.54:761.54]  Pra vocês, eu sou fio.
[761.54:764.54]  Ah, quem deve ter, né?
[764.54:766.54]  É isso mesmo.
[766.54:768.54]  Mas, tava lendo a pena perder.
[770.54:773.54]  Perceiro objeto na real, um monte de objeto junto.
[773.54:774.54]  E põe ele pra mim, que, olha.
[774.54:775.54]  É, isso daqui, pra um monte de fio.
[775.54:777.54]  Já começou?
[777.54:778.54]  Já começou.
[778.54:779.54]  Robado.
[779.54:781.54]  O, cinco segundos de penalização.
[781.54:785.54]  Mole, é que todas as vezes vocês acabaram depois de estreitar.
[785.54:786.54]  Não, merece, merece.
[786.54:788.54]  Vocês já têm mais tempo que não, está bem?
[788.54:789.54]  E daí?
[789.54:790.54]  E daí?
[790.54:791.54]  Tem mais tempo que a reira, vocês têm que seguir, aí.
[791.54:792.54]  Mas não, não tá mais seguir a reira?
[792.54:793.54]  Não tá.
[793.54:794.54]  Cadê a magia do Natal?
[794.54:795.54]  E a magia?
[795.54:797.54]  Amigos, família.
[797.54:799.54]  Então, agora, aprovei, hein?
[799.54:801.54]  Um, dois, três.
[804.54:806.54]  Com certeza do 20 fios.
[806.54:808.54]  Eu tô muito enxoc, depois...
[808.54:812.54]  É também eu fiquei enxoc, e agora não entendi a física, não funciona mais pra mim.
[812.54:813.54]  Não.
[813.54:815.54]  Você tem bem todo o céu, mano?
[815.54:816.54]  Vem cá, daí.
[819.54:821.54]  Um, dois, três e...
[824.54:825.54]  Já chegou agora, na conclusão?
[825.54:826.54]  Com certeza, eu vi de quilos.
[826.54:829.54]  Não, não importa, por fênica, isso que ele não sabe.
[829.54:830.54]  É 20 quilos.
[830.54:831.54]  É 20 quilos.
[831.54:832.54]  Descada, bora de infodeza.
[832.54:833.54]  É um doente, hein?
[833.54:834.54]  Ah, um tempo.
[834.54:835.54]  Nada ainda.
[835.54:837.54]  Você fala.
[837.54:839.54]  Fênica, só ir falar pra ela aqui.
[839.54:840.54]  Fé...
[840.54:842.54]  Falamos 320.
[842.54:844.54]  Nossa, senhora, achou muito longe, mano.
[844.54:845.54]  Vocês?
[845.54:846.54]  230.
[846.54:847.54]  Vai, gente, vai, gente.
[847.54:848.54]  Vai, gente.
[852.54:853.54]  360, hein?
[853.54:854.54]  Woo!
[854.54:855.54]  Não, tem jeito.
[855.54:861.54]  Vamos levar em consideração que tem algumas pessoas nessa mesa que pesam coisas com frequência.
[861.54:864.54]  Sim, você é uma mãe de família que faz o alimento dos seus filhos.
[864.54:866.54]  Não, você que pesa comida todo dia.
[866.54:868.54]  Exato, Maramba, né?
[868.54:869.54]  E tem outra situação também.
[869.54:871.54]  Já que a gente perdeu o que a gente vê de novo.
[871.54:872.54]  Eu quero mais.
[872.54:874.54]  Cara, esse cara não tem vergonha, mesmo, né?
[874.54:875.54]  Cara, isso não consegue.
[875.54:876.54]  Adoro o presente de Natal, cara.
[876.54:877.54]  Adoro.
[877.54:879.54]  A gente precisa ir pro último jogo.
[879.54:881.54]  Esse, agora, o cara fica em a bom de verdade.
[881.54:883.54]  Agora, a mermão é a hora da corrida.
[883.54:887.54]  Quem conseguiu trazer a taça até o final da mesa sem derrubar, vem-se.
[887.54:892.54]  Eu confio, eu confio, eu confio, eu confio, eu confio, eu confio,
[892.54:893.54]  vamos, vamos, vamos.
[893.54:896.54]  1, 2, 3.
[896.54:897.54]  Tá vendo?
[897.54:898.54]  Vai, vai.
[898.54:899.54]  Ah!
[899.54:900.54]  Vai, é calma, calma.
[900.54:901.54]  Calma.
[901.54:902.54]  Já ganhou.
[902.54:903.54]  Já ganhou.
[903.54:904.54]  Já ganhou.
[904.54:905.54]  Calma.
[905.54:906.54]  Agenda, vai, já.
[906.54:908.54]  Não, senha que nem é créditável, né?
[908.54:910.54]  Cara, trapalhou o jogo.
[910.54:911.54]  Cara, não sabe jogar um joguinho, cara.
[911.54:913.54]  Se eu fosse nenhum bom, velho.
[913.54:914.54]  Ai!
[914.54:915.54]  Vergonha, eu tô professora.
[915.54:917.14]  A gente tá atrapalhou o jogo.
[917.14:918.5]  Cara, não sabe jogar um joguinho, cara.
[918.5:919.74]  Se eu fez nenhum bom, vai.
[919.74:921.54]  Ai...
[921.54:922.9399999999999]  Vergonha da profissão.
[922.9399999999999:924.3399999999999]  Vai, tá valendo?
[924.3399999999999:925.3399999999999]  Vai, vai, vai.
[925.3399999999999:926.3399999999999]  Vai, vai, vai, vai, vai.
[926.3399999999999:927.3399999999999]  Tá roubando, batista.
[927.3399999999999:928.3399999999999]  Não, nem roubemos.
[928.3399999999999:929.3399999999999]  Tá roubando.
[929.3399999999999:930.3399999999999]  Vai, vai, vai, vai.
[930.3399999999999:931.3399999999999]  Abra, boga, fênix.
[933.3399999999999:934.3399999999999]  Ah!
[936.3399999999999:938.3399999999999]  Ah, menu.
[938.3399999999999:939.74]  Vai, vai, vai.
[939.74:940.74]  Tô muito feliz agora.
[940.74:941.9399999999999]  É criança, aí, você vai no hipóton.
[941.9399999999999:943.9399999999999]  Ei, por nossa.
[943.94:945.5400000000001]  Calma aí, calma aí, gente.
[945.5400000000001:947.5400000000001]  Ai...
[947.5400000000001:951.1400000000001]  Eu tenho o ser tal o...
[951.1400000000001:953.1400000000001]  Calma aí, ai, ai.
[953.1400000000001:954.1400000000001]  Ai, ai.
[954.1400000000001:955.5400000000001]  Batista.
[955.5400000000001:957.1400000000001]  Batista.
[957.1400000000001:958.74]  Ó, tem de ser, hein?
[958.74:959.34]  Outra bom.
[959.34:960.5400000000001]  No três.
[960.5400000000001:961.74]  No dois.
[961.74:962.94]  Não, nem rápido.
[962.94:964.94]  Ó, num, vai.
[968.5400000000001:969.94]  Ai, ai, ai.
[969.94:971.1400000000001]  E agora, o que que faz nessa...
[971.1400000000001:971.94]  Vai, Matheus.
[971.94:972.74]  Vai, Matheus.
[972.74:974.34]  Calma, calma, calma, calma.
[974.34:975.34]  Calma, calma.
[975.34:976.34]  De arrabo.
[976.34:977.34]  Eu vi.
[977.34:978.34]  Não, você tá ganhando aí, hein?
[978.34:979.34]  Não, adianta.
[979.34:980.34]  Só calma.
[980.34:981.34]  Só calma.
[981.34:982.34]  Ele é de perder o ponto.
[982.34:983.34]  É, gente, é perder o ponto.
[983.34:984.34]  Gai.
[984.34:986.34]  Eu perdi por que ficou.
[986.34:987.34]  É nada.
[987.34:988.34]  É sim, você foi grosso?
[988.34:989.34]  Foi grosso, não sabe jogar?
[989.34:990.34]  Tomi.
[990.34:991.34]  Então, o que é isso?
[991.34:992.34]  O que é isso?
[992.34:993.34]  Não, o que é isso?
[993.34:995.34]  Tiro de maluca.
[995.34:997.34]  É porque ele tá mais pesado dele aí, mesmo.
[997.34:999.34]  Não, ele tá querido jogar.
[999.34:1000.34]  É fazer uma roca só agora.
[1000.34:1003.14]  É três, dois, um, vai.
[1003.14:1004.14]  Vai.
[1004.14:1005.14]  Deixa de lado assim.
[1005.14:1006.14]  Nossa, meu.
[1006.14:1007.34]  Já ganhou.
[1007.34:1008.34]  Vamos, Mari.
[1008.34:1009.34]  Vamos, Mari.
[1009.34:1010.34]  Vamos, Mari.
[1010.34:1011.34]  Vai, vai, vai, vai, vai, vai, vai, vai.
[1011.34:1012.34]  Vamos, Mari.
[1012.34:1013.34]  Oi!
[1013.34:1015.34]  Calma, calma, calma.
[1015.34:1016.34]  De vagar, de vagar.
[1016.34:1018.34]  Tá cabolinha, pega garrafa.
[1019.34:1020.34]  Vai.
[1020.34:1021.34]  Mil caeram o seu lado.
[1021.34:1022.34]  Ele na ponta esperar.
