[0.0:2.0]  DISH
[133.1:135.5]  Por que honra, aí, meu irmão, pra poder usar a camisa.
[135.5:136.5]  Tipo, eu tô usando aqui.
[136.5:137.5]  Eu posso usar agora?
[137.5:138.5]  Você...
[138.5:140.5]  Eu acho que isso pode ficar no...
[140.5:143.42000000000002]  No melhor não, eu tenho muito pelo.
[143.42000000000002:144.42000000000002]  É?
[144.42:145.42]  No cor, sino...
[145.42:146.42]  Mas...
[146.42:147.42]  Mas você não, mas eu tenho.
[147.42:148.42]  Entendi.
[148.42:150.42]  Bom, mas, ó, você também pode experimentar a camisa da Insight.
[150.42:155.1]  Se você entrar em cidersstore.com.br e você vai encontrar lá essa maravilha que
[155.1:159.22]  é a TechT-Shirt e outros, uma deus, também tem vários modelos de na verdade.
[159.22:160.22]  É...
[160.22:161.22]  Olha que bacana aqui, ó.
[161.22:165.01999999999998]  Ela tem um explicativo, ó, porque criamos...
[165.01999999999998:168.42]  Não precisa passar no esquento, ela tá da tua probabilidade de se sustentar, pô.
[168.42:171.01999999999998]  Pois é, várias qualidades aí na TechT-Shirt, você...
[171.01999999999998:172.01999999999998]  Tá quexer, né?
[172.01999999999998:173.01999999999998]  Eu, a gente...
[173.02:175.42000000000002]  E é, cara, se não for gente ajustar para a tua, fica tranquilo.
[175.42000000000002:178.22]  Então, eu presente que eu quero que você use mesmo porque eu sei que você vai gostar.
[178.22:179.22]  Vou usar.
[179.22:180.22]  É...
[180.22:183.62]  Bom, e você encontra várias roupas lá, vários tipos de roupas lá na Insight.
[183.62:186.62]  E vários tipos de camisa, e moletão, tem roupa para uma, uma roupa para uma mulher.
[186.62:190.82000000000002]  Vou que você precisar, mas o meu favorito é TechT-Shirt e a coecca, tá?
[190.82000000000002:193.62]  Vai na coecca e que eu tenho certeza que tu não vai se arrepender.
[193.62:194.62]  Beleza?
[194.62:197.22]  Você ainda pode usar o coupon flow para ganhar um desconto.
[197.22:201.82000000000002]  E se for a primeira compra, você ganha 18% de desconto.
[201.82:207.82]  Se eu nunca experimentou, talvez você já melhora oportunidade da sua vida de pagar marbarato
[207.82:208.82]  na Insight.
[208.82:209.82]  Tá bom?
[209.82:212.18]  É o link aqui embaixo, já vai com o coupon, o QR Code também já vai com o coupon, senão
[212.18:214.22]  insiderstore.com.br e o coupon flow.
[214.22:215.22]  Demorou?
[215.22:216.22]  É isso.
[216.22:218.62]  Um outro parceiro da gente também é a acedir, cario.
[218.62:222.82]  Eu queria falar para vocês dois pital ortopédicos da acedir, inclusive eu tive lá essa semana.
[222.82:225.82]  Se foi segunda-feira, a gente teve lá até a galera inteira lá do flow.
[225.82:227.82]  A gente foi ver como eles funcionam, né?
[227.82:229.82]  A gente já tinha ido no ano passado.
[229.82:232.62]  É simplesmente uma estrutura incrível, cara, que não fica devendo.
[232.62:236.42]  E eu estou falando sério, não fica devendo para esses hospitais de ponta que você está
[236.42:237.42]  pensando aí.
[237.42:240.82]  Eu sei que tem uma galera que pude, quando vai precisar, quando precisa de algum serviço
[240.82:244.82]  ortopédico, não leva em consideração ou melhor.
[244.82:247.42]  Leva em consideração outros hospitais mais x, e tal.
[247.42:251.82]  Mas eu fui lá e eu posso dizer para você que as instalações são as mesmas.
[251.82:252.82]  Tá bom?
[252.82:257.62]  E sem contar que assim, você faz isso todo o seu para todo o processo do teu tratamento,
[257.62:259.82]  você faz num lugar só.
[259.82:260.82]  Tá bom?
[260.82:265.62]  Máquina de ponta, tratam todas as idades, o que você precisa, o hospital ortopédico da
[265.62:268.62]  acedir, dá uma olhada aqui no link aqui, vai conhecer um pouco mais.
[268.62:271.62]  Aí, se você conhece alguém, inclusive, que precisa desse tipo de serviço.
[271.62:273.62]  Deixa eu ver em volume aí, Janzão.
[275.62:276.62]  Fases do felca.
[276.62:278.62]  Eu sei que fez para mim.
[278.62:279.62]  Esse foi o lipinero, cara.
[279.62:284.62]  Ele pega e faz uma homenagem, assim, personalizada para as nossas convidades.
[284.62:286.62]  Ah, ele fez todos os cortes ali, né?
[286.62:287.62]  Não é isso, né?
[287.62:288.62]  Caralho, foda.
[288.62:291.62]  Tá mais bonito no desenho, eu acho.
[291.62:295.62]  Ah, não, não, é da eutocórdupo.
[295.62:296.62]  Tu acha de eutocórdupo, não é isso?
[296.62:297.62]  Mas tá bonito, cara.
[297.62:300.62]  Bom, você que tá assistindo aí, você pode reggatar esse problema totalmente de graça.
[300.62:305.62]  Só entra em nv9.com.br, barriga, atalho e usar o código felca.
[305.62:306.62]  Tá bom?
[306.62:307.62]  É, sem mandar mensagem para a gente.
[307.62:310.62]  O link tá fixado aí nos comentários da live.
[310.62:311.62]  Beleza?
[311.62:312.62]  Pois é.
[312.62:316.62]  Cara, a gente tava falando antes aqui sobre como...
[316.62:317.62]  Como é teu nome mesmo?
[317.62:318.62]  O Samuca, né?
[318.62:319.62]  Manda, né?
[319.62:320.62]  Era um górdio para esse cara.
[320.62:321.62]  Ah, por que?
[321.62:323.62]  Ah, porque ele é reservado, porra.
[323.62:324.62]  Eu acho uma boa escolha, cara.
[324.62:325.62]  Tu gosta de ser famoso?
[325.62:327.62]  Cara, ser famoso.
[327.62:329.62]  Porra, tem pros e contras, né?
[329.62:330.62]  Tem.
[330.62:331.62]  Tem.
[331.62:332.62]  Cara, olha, pros e contras, cara.
[332.62:334.62]  Eu gosto de...
[334.62:335.62]  É porra...
[335.62:338.62]  Eu gosto de sentir o que o que eu faço é visto, entendeu?
[338.62:341.62]  Eu gosto de sentir que, cara, eu tenho uma ideia, eu consigo lançar,
[341.62:344.62]  eu consigo que as pessoas vejam, eu consigo, tipo assim, ser visto.
[344.62:348.62]  Mas tem muita coisa da fama que eu não curto nenhum pouco, cara.
[348.62:351.62]  Tem coisa da fama que, porra, é bed, va, ame, entendeu?
[351.62:353.62]  Então, tipo assim, porra, eu vou te dar um exemplo.
[353.62:357.62]  Eu moro no apartamento, moro Londrina para na...
[357.62:359.62]  E...
[359.62:360.62]  Comeram os detalhes, vai.
[360.62:363.62]  Não, moro Londrina para na rua, não tô brincando.
[363.62:365.62]  Eu moro Londrina para na...
[365.62:367.62]  E é o seguinte, cara, porra, já...
[367.62:370.62]  Tipo assim, cara, eu vejo a pessoa que gosta de Minha Rua
[370.62:371.62]  e eu trato bem para caralha, né?
[371.62:373.62]  Porque a pessoa gosta de Minha Rua, tipo assim, mano.
[373.62:374.62]  A pessoa...
[374.62:376.62]  Eu vejo uma pessoa que eu nunca vi na minha vida, tá?
[376.62:378.62]  Um pessoa que é fan.
[378.62:380.62]  A pessoa já me viu 150 vezes, né?
[380.62:382.62]  A pessoa já viu em story, a pessoa já viu em vídeo,
[382.62:384.62]  a pessoa já me viu 150 vezes.
[384.62:386.62]  Eu vou tratar ela bem para caralho, porque eu sei que ela tem uma...
[386.62:388.62]  Uma conexão, ela tem uma amizade comigo.
[388.62:389.62]  Aham.
[389.62:391.62]  Mas eu não conheço aquela pessoa, é uma relação esquisita.
[391.62:393.62]  É uma relação esquisita, cara.
[393.62:397.62]  Só que, tipo assim, já teve muitas vezes do cara...
[398.62:400.62]  Colar em casa...
[400.62:404.62]  Colar em casa fica tocando campainha, mas é assim, diária, rotina.
[404.62:406.62]  Então eu tenho que sair do prédio, tipo assim,
[406.62:408.62]  porque como que eu vou abrir a campainha, entendeu?
[408.62:409.62]  Tipo assim, mano, é coisa de...
[409.62:410.62]  Cara, eu teve um dia.
[410.62:411.62]  Tender que...
[411.62:413.62]  Cara, é só dar pra isso, eu fico sensível, assim.
[413.62:414.62]  Fico sensível.
[414.62:415.62]  Na Chega até dar um gatilho, assim.
[415.62:416.62]  Que porra.
[416.62:417.62]  Porra, então.
[417.62:418.62]  Estávamo com cara, cara.
[418.62:421.62]  Que tipo assim, mano, eu cheguei...
[421.62:422.62]  Cheguei...
[422.62:425.62]  Sentei no meu... no meu... na minha TVzinha.
[425.62:428.62]  Eu tava com fome, eu tava... eu tava um dia inteiro sem comer.
[428.62:429.62]  Eu peguei uma marina de cara.
[429.62:430.62]  Cara, cara.
[430.62:431.62]  Era umas meio dias.
[431.62:432.62]  Tá.
[432.62:434.62]  Peguei uma armetinha, peguei uma comida e um ranguinho.
[434.62:439.62]  Sentei na minha cadeirinha, coloquei o ranguinho na...
[439.62:441.62]  Pior, pior.
[441.62:442.62]  Muito pior.
[442.62:444.62]  Eu desci pra pegar a comida na apartamento,
[444.62:446.62]  porra, eu sou um cara social, treino.
[446.62:447.62]  Então, é o que eu imagino, olha.
[447.62:448.62]  O povo respeito.
[448.62:450.62]  Mas eu olho, olho pra você.
[450.62:452.62]  E assim, por você, eu sou o perfil de na internet,
[452.62:453.62]  e você vai se malucar aqui.
[453.62:455.62]  E eu gosto de ficar na dele, em paz.
[455.62:456.62]  Eu sou um professor pra caralho.
[456.62:458.62]  Até porque, assim, quando eu fui falar com o tigo,
[458.62:459.62]  faz uma ótima pão, pô.
[459.62:460.62]  Inclusive, você não pode me...
[460.62:462.62]  Ah, mas uma coisa que eu queria falar pra você, cara.
[462.62:465.62]  Eu fui convidado para autos, podcache, depois que você me convidou.
[465.62:467.62]  Só que você foi o primeiro que me convidou.
[467.62:469.62]  Eu falei assim, cara, quando eu for no podcache,
[469.62:470.62]  eu vou primeiro no flow.
[470.62:471.62]  Tá.
[471.62:472.62]  Obrigado.
[472.62:473.62]  Uma questão de et, entendeu?
[473.62:474.62]  Porque eu fui convidado pra vários.
[474.62:476.62]  Só que eu falei, não, quando eu for, eu vou primeiro por fô,
[476.62:478.62]  porque eu o ígo me convidou primeiro.
[478.62:479.62]  Tá, obrigado, cara.
[479.62:480.62]  É ética, paizão.
[480.62:481.62]  Então, mas aí...
[481.62:482.62]  O que você tá rindo?
[482.62:484.62]  Não, eu ia só dizer que, assim, quando eu fui falar com o tigo,
[484.62:485.62]  é...
[485.62:486.62]  Pelo...
[486.62:488.62]  A gente trocou uma ideia breve ali, e aí...
[488.62:492.62]  Você me mandou um vídeo, cara, que ele vinha sensacional, inclusive, cara.
[492.62:493.62]  Ah, é?
[493.62:494.62]  Tudo nem lembra.
[494.62:496.62]  Pra mim me marcou e pra você não foi melhor.
[496.62:497.62]  É isso?
[497.62:498.62]  Por que eu te marcou?
[498.62:499.62]  Não, eu tô falando que foi um vídeo divertido.
[499.62:500.62]  Ah, também.
[500.62:501.62]  Eu mostrei pra você.
[501.62:503.62]  Não, eu me... depois eu falo a verdade.
[503.62:504.62]  Ah, tá, então não marcou?
[504.62:505.62]  Não, não marcou.
[505.62:506.62]  É, sei nem lembra, cara.
[506.62:507.62]  Não, eu lembro.
[507.62:508.62]  Porque foi engraçado.
[508.62:509.62]  Tá.
[509.62:510.62]  É.
[510.62:514.62]  E aí, nesse papo, eu saquei que você era um... imaginei que você seria um cara que...
[514.62:515.62]  Ah, esse cara gosta de ficar em casa, mano.
[515.62:517.62]  Eu sou fechado pra caramba, cara.
[517.62:520.62]  E aí, você não vai pra pegar comida, aí você é um cara social.
[520.62:522.62]  Tá, eu desci pra pegar comida, eu vou voltar a história.
[522.62:523.62]  Chegou, tinha um casal lá.
[523.62:526.62]  Eu nem quero falar pra... pra pessoa não ficar incomodando, tá bom.
[526.62:527.62]  Tinha um casal lá.
[527.62:528.62]  De repente, eu já tinha assistindo.
[528.62:529.62]  Ah, então nem vou falar.
[529.62:531.62]  Não, tinha um casal lá.
[531.62:533.62]  Beleza, tinha um casal lá.
[533.62:534.62]  Eu cheguei...
[534.62:535.62]  O cara nem falar commigo.
[535.62:536.62]  Nem olharam pra mim.
[536.62:538.62]  Tipo assim, não tem nada contra, beleza?
[538.62:540.62]  Eu gosto de mento, mais.
[540.62:543.62]  Mas eu poderia falar... eu penso assim, cara, tudo é livador.
[543.62:545.62]  Eu estou na rua. É pra ser conversado, cara.
[545.62:548.62]  Você pode falar commigo. Você pode entrar na minha casa, não é um porra.
[548.62:549.62]  Obrigado.
[549.62:553.62]  Na minha casa... porra, na minha casa é o único lugar que eu quero ter paz dessa vida, tá.
[553.62:555.62]  Não, porra. Eu não tô pedindo muito, porra.
[555.62:556.62]  Cara, eu não tô pedindo.
[556.62:557.62]  É absolutamente sensato.
[557.62:558.62]  Obrigado.
[558.62:559.62]  É absolutamente sensato.
[559.62:562.62]  E assim, eu não sei como é...
[562.62:565.62]  Qual é a faixa etária da galera que vai lá na casa?
[565.62:566.62]  Mano.
[566.62:567.62]  É variado do nível absurd.
[567.62:570.62]  Ah, ia falar com a coisa de criança, que eu acho que nem investi,
[570.62:573.62]  porque eu falo pra pra pra pra caralho, e eu falo coisa pra caralho.
[573.62:575.62]  Criança até idosa, cara.
[575.62:576.62]  Idoso, entendeu.
[576.62:578.62]  Então, idoso enxer o saco, um adulto, enxer delas.
[578.62:579.62]  Não, não, não, é enxer.
[579.62:581.62]  É pra isso que é melhor ter público adulto, cara.
[581.62:583.62]  Eu não sei como esse cara de penaldinho vive, porra.
[583.62:584.62]  Obrigado.
[584.62:586.62]  E não adi em resenças, porra, não sei como vive, cara.
[586.62:590.62]  Porque público criança é o que peneta notamente, cara.
[590.62:593.62]  O público adulto, eles sonem aí, ele respeita, ele fala assim, porra, cara.
[593.62:596.62]  Quando você sai, e se você tá comendo a criança, vai tá nem aí, porra.
[596.62:598.62]  Eu vai chegar falando com você, entendeu.
[598.62:602.62]  Não que eu não gosto, porque porra, faz parte, entendeu.
[602.62:604.62]  Só que, porra, tá, vou contar a história.
[604.62:606.62]  Eu cheguei em casa, porra.
[606.62:607.62]  O casal nem falou comigo.
[607.62:611.62]  Eu cheguei em casa, botei comida no colo, eu tava sem comer dois dias,
[611.62:615.62]  falei, portou com um fome pra caralho, vou comer agora, vou regaçá-viu.
[615.62:618.62]  Agora eu vou me arendar, é hora da me arenda, treinada.
[618.62:620.62]  Eu botei comida no colo, ponteau, que telefone.
[620.62:621.62]  Eu caralho.
[621.62:624.62]  Eu fui dar a primeira garfada, deu mano, que bosta, cara.
[624.62:625.62]  Será que é o vizinho?
[625.62:626.62]  É o que chegou me encumendo?
[626.62:631.62]  Eu pego, deixa a comida na mesa, pego a telefone, alô, tal o que quiser.
[631.62:634.62]  Então, tinha um casal aqui na portaria,
[634.62:638.62]  ele ficaria muito feliz, e se você fosse ali na academia,
[638.62:642.62]  tirar uma foto com ele, eu peguei pra assim, nossa, que bom.
[642.62:644.62]  Você deu?
[644.62:647.62]  Que bom que eles ficariam feliz, cara, mas faz seguinte,
[647.62:650.62]  eu vou mostrar aqui bem gostosinho, tá?
[650.62:653.62]  E depois, qualquer coisa, se eu ver ele no elevador,
[653.62:656.62]  se eu ver ele no elevador, eu vou ter todo o carinho,
[656.62:659.62]  todo o tato do mundo vai pixar a foto, mas eu estou mostrando, pô.
[659.62:663.62]  Criado, eu falei assim, por favor, não me manda meu apartamento,
[663.62:666.62]  porque rola muito da galera ficar tocando campainha, cara.
[666.62:668.62]  Pois se diz, de outra, seis da manhã...
[668.62:670.62]  Pô, teenagers porteiros, tipo, tipo, porra.
[670.62:671.62]  Todo respeito.
[671.62:672.62]  Tinha aí, porra.
[672.62:673.62]  Tinha o sifrito.
[673.62:674.62]  É o sifrito, porra.
[674.62:675.62]  É o seu utavelo, né?
[675.62:676.62]  É o utavelo, cara.
[676.62:677.62]  É libertador, fala isso, pô.
[677.62:679.62]  Eu posso falar, ó, torteiro que tive a me ver,
[679.62:681.62]  não pessoal gosta de mim, gente boa pra cara,
[681.62:682.62]  só porque liberta, tá?
[682.62:684.62]  Eu estou com uma tensão, eu preciso sair de mão, vai.
[684.62:686.62]  Eu sou por ter o offrinho da puta, porra.
[687.62:688.62]  Obrigado.
[688.62:691.62]  Eu sou por ter o offrinho da puta do caralho, bicho.
[691.62:693.62]  Porra, cara, falar no número do tapatamento, pô.
[693.62:694.62]  Eu tô me encarando, cara.
[694.62:695.62]  É porra.
[695.62:696.62]  É forra, cara.
[696.62:698.62]  Por ter o talhado pra proteger, porra.
[698.62:700.62]  Eu tô me sentindo vulnerável, cara.
[700.62:703.62]  Porra, tem gente maluca nesse mundo, porra.
[703.62:705.62]  A pessoa chega com uma arma, ela vai fazer o quê, cara.
[705.62:708.62]  Eu tô de ir comprar uma catana ali pra me resolver.
[708.62:711.62]  Tá até tu pegar a catana, a catana, banhar e o caralho,
[711.62:714.62]  vai gravar um dia, mas porra, esse parceiro, uma catana com uma arma.
[714.62:715.62]  Tá fudido, pô.
[715.62:717.62]  Não, tá fudido que não tá com a arma.
[717.62:718.62]  Por quê?
[718.62:719.62]  É, eu desvi ali, pô.
[719.62:720.62]  Tem um bumbu, não, não.
[720.62:721.62]  O problema é que tu nunca estes...
[721.62:723.62]  Eu chumo na barreiga e eu porfeitei no pra fora.
[723.62:726.62]  Quanto às vezes tu tentou fazer isso aí?
[726.62:728.62]  Cara, vou te falar aqui nenhum, humém.
[728.62:730.62]  Então, 3-0 treinamento.
[730.62:732.62]  Imagina, o tir é marfácil.
[732.62:734.62]  Ah, mas a adrenalina parou.
[734.62:736.62]  Viro, o meu amor, o Commissiona, tende.
[736.62:738.62]  A adrenalina?
[738.62:739.62]  É.
[739.62:740.62]  Porra.
[740.62:741.62]  É.
[741.62:743.62]  Dependendo da arma do cara, dá pra virar, ame.
[743.62:745.62]  Ou uma coisa que dá pra fazer bacana, comprar uma pistola.
[745.62:746.62]  Dá pra fazer.
[746.62:748.62]  Mas aí eu não sei se estes carinhos liberar pra tu comprar.
[748.62:750.62]  Eu tenho pistola de bolinha, cara.
[750.62:752.62]  Isso aí pode assustar.
[752.62:753.62]  Pode assustar.
[753.62:755.62]  Imagina, a próxima vez que tu carita pra pão painha.
[755.62:756.62]  Tu saia assim, ó.
[756.62:758.62]  Para a tua parmeia de pistola.
[758.62:759.62]  É mais não, o carinho é de pão.
[759.62:760.62]  O carinho entra na minha porta,
[760.62:761.62]  e tu começa a encher de bolinha, pô.
[761.62:762.62]  O cara fica commodado pra cara.
[762.62:763.62]  Cara.
[763.62:764.62]  Não, não.
[764.62:765.62]  É chatão.
[765.62:766.62]  É porque dá ar de dinha quando vai.
[766.62:767.62]  O cara for o olho, se pegar no olho.
[767.62:768.62]  Não, se pegar no olho.
[768.62:770.62]  Eu vou tá virando no olho, meu.
[770.62:773.62]  Mas tá, falando que eu tava falando, pô.
[773.62:774.62]  Tu nem lembro, tava falando...
[774.62:776.62]  Não, tá falando do porteiro, né?
[776.62:777.62]  Que é um filhante.
[777.62:779.62]  Então rola muito da galera chegar na minha porta, cara.
[779.62:781.62]  Então isso aí é foda, mano.
[781.62:782.62]  Já aconteceu com você?
[782.62:784.62]  Cara, então já.
[784.62:786.62]  Já, só que assim,
[786.62:788.62]  é bem pouco, na verdade, porque assim,
[788.62:790.62]  maioria das dos carques que me assiste,
[790.62:793.62]  eles são suponhas, assim, que são mais velhos.
[793.62:796.62]  Não, mas você conhecido o Brasil todo, bicho.
[796.62:797.62]  Tá, mas esses carques...
[797.62:798.62]  Você é criança, todo mundo com as voces.
[798.62:799.62]  Todo mundo já viu você, pô.
[799.62:802.62]  Mas assim, como eu ando na rua aqui,
[802.62:804.62]  todo mundo que tinha que falar comigo já falou comigo, entendeu?
[804.62:805.62]  Sei, cara.
[805.62:806.62]  Eu acho que já...
[806.62:808.62]  Não, tu vai na aqui, nessa região aqui.
[808.62:809.62]  Tá.
[809.62:810.62]  Que é... Eu moro aqui também, entendeu?
[810.62:812.62]  Não aqui nessa casa, mas por aqui.
[812.62:814.62]  Então assim, eu ando muito por aqui.
[814.62:816.62]  Eu desço pra almoçar na rua embaixo.
[816.62:817.62]  Então esses caras já...
[817.62:818.62]  É que nem...
[818.62:819.62]  Imagina, né?
[819.62:820.62]  O cara...
[820.62:822.62]  Eu vou almoçar no restaurante do cara
[822.62:823.62]  3 dias por semana.
[823.62:825.62]  Cara, eu vou tirar foto todo dia, não vai.
[825.62:826.62]  Então vai ficando normal.
[826.62:828.62]  E como já estamos aqui há um tempo,
[828.62:829.62]  e aqui pra mim já é normal.
[829.62:830.62]  E eu não saio muito daqui.
[830.62:832.62]  Mas tu vai no restaurante, você tá comendo.
[832.62:833.62]  Não rola, não?
[833.62:834.62]  Rola e...
[834.62:836.62]  Só dos carques não manjam muito.
[836.62:839.62]  Porque o tanto que eu já falei que o único momento
[839.62:841.62]  que eu fico puto do cara pedifoto,
[841.62:842.62]  que ele tá comendo,
[842.62:843.62]  que o cara nem pede mais.
[843.62:844.62]  Sairão?
[844.62:846.62]  É o único momento que deixa a puto, né?
[846.62:848.62]  O que eu vou ter que começar a fazer isso?
[848.62:850.62]  Eu odeio que, de fato, que eu tô comendo.
[851.62:852.62]  Pô, nada a ver.
[852.62:853.62]  Eu odeio que eu vou na minha casa.
[853.62:855.62]  Se eu falar, será que pega?
[856.62:858.62]  Mas aí, deixa eu te falar a parada.
[858.62:860.62]  Daí o que acontece, cara?
[861.62:863.62]  Rola muito de criança, cara.
[863.62:864.62]  Porque criança me acompanha.
[864.62:866.62]  Eu não acho que deveria me acompanhar.
[866.62:867.62]  Porque eu falo para o Avron pra caralho,
[867.62:869.62]  eu falo a monte de coisa, entendeu?
[869.62:870.62]  Para o Avron tá caro.
[870.62:871.62]  Cara, eu...
[871.62:872.62]  Minhas filhas.
[872.62:874.62]  Eu faço altas paradas que, mano, não é pra criança, tu, né?
[874.62:877.62]  Eu tipo assim, eu tenho um conteúdo que, pobeleza,
[877.62:879.62]  ele chega semenso, ele chega sempre a todo mundo.
[879.62:882.62]  Mas eu acho perigoso, treado, porque tipo assim, eu falo muito a...
[882.62:884.62]  Cara, eu não filtro, bicho.
[884.62:885.62]  Eu não filtro.
[885.62:887.62]  O meus vídeos eu faço um roteirinho, treado.
[887.62:889.62]  Para começar, assim, algumas partes de improviso,
[889.62:892.62]  ironicamente, o que é de improviso acaba bombando mais, entendeu?
[892.62:894.62]  Então, eu tipo assim...
[894.62:896.62]  Mas eu faço uma ideia que tão com pessoas.
[896.62:897.62]  Não, fudeu.
[897.62:898.62]  Então, por exemplo, eu quero de verdade.
[898.62:899.62]  Pois é.
[899.62:900.62]  Mas eu faço um roteirinho, entendeu?
[900.62:903.62]  E daí, cara, no roteiro, eu tenho uma dinâmica comigo,
[903.62:905.62]  menos que eu não filtro.
[905.62:906.62]  Então, se eu tô fazendo roteirinho,
[906.62:908.62]  se eu tô fazendo uma live, uma qualquer coisa que seja,
[908.62:910.62]  eu não vou filtrar muito que eu tô passando,
[910.62:912.62]  porque, cara, o meu filtro, ele não é confiável, entendeu?
[912.62:914.62]  Se eu começar a filtrar, vou começar a filtrar tudo.
[914.62:916.62]  Então, tudo o que entra, eu deixo sair pro vídeo.
[916.62:919.62]  E daí, eu não sei, cara, porque daí eu falo muito a merda,
[919.62:921.62]  eu falo para a Vrão, eu acho que todo mundo, eu usou,
[921.62:922.62]  todo mundo, entendeu?
[922.62:923.62]  Então, cara, não sei.
[923.62:925.62]  Tu cria contudo a quanto tempo, cara, que você surgiu para mim?
[925.62:926.62]  Eu não falei das crianças, né?
[926.62:927.62]  A foda está meio...
[927.62:928.62]  Não tem uma fala das crianças, né?
[928.62:929.62]  São pessoas puras, cara.
[929.62:930.62]  Não são pessoas puras, cara.
[930.62:931.62]  Fala das crianças.
[931.62:932.62]  Não são pessoas puras e inocentes, cara.
[932.62:933.62]  Nem de ver está falando isso.
[933.62:934.62]  Sou amargo, né, cara?
[934.62:935.62]  Ah, não acho, cara.
[935.62:936.62]  Eu acho que...
[937.62:939.62]  É foda a gente se colocar também, quando eu te pergunto ele.
[939.62:940.62]  É que eu sou um social, cara.
[940.62:943.62]  É, então quando eu sou fechado para caralho, não nível absurdo.
[943.62:945.62]  Eu sou fechado mesmo, entendeu?
[945.62:947.62]  Eu te pergunto para mim, vir para São Paulo?
[947.62:948.62]  Porra.
[948.62:949.62]  É um trabalho.
[949.62:950.62]  Tira, não é boca.
[950.62:951.62]  Caralho.
[951.62:953.62]  Você não gosta de verdade mesmo.
[953.62:955.62]  Cara, São Paulo é igual a Tanciri, porra.
[955.62:956.62]  Mas não tem jeito.
[956.62:957.62]  Você cria conteúdo, irmão.
[957.62:958.62]  Você tem que estar aqui toda hora.
[958.62:959.62]  Todos os eventos são aqui.
[959.62:960.62]  É isso, é verdade.
[960.62:961.62]  Mas eu não vou ainda.
[961.62:962.62]  A menos que você não queira.
[962.62:963.62]  É.
[963.62:966.62]  A menos que você queira continuar fazendo exatamente o que você está fazendo.
[966.62:967.62]  Não, até queira.
[967.62:968.62]  Mas o que evento que eu vou para fazer o quê?
[968.62:969.62]  Então, deve...
[969.62:971.62]  Uma hora parece uma parada.
[971.62:972.62]  Ah, isso é verdade.
[972.62:973.62]  Uma hora...
[973.62:974.62]  Tem ele...
[974.62:975.62]  Toda hora, você está aqui, vai ficar aqui há semanas.
[975.62:977.62]  Você está querendo conteúdo durante uma semana aqui, né?
[977.62:978.62]  10 dias, cara.
